velocity(m/s),r_squared,standard_error,diameter
0.0034527852776677593,0.9999514338394808,2.048365534039134e-06,1.62
0.003759851830463216,0.9999900675564738,6.864245496049102e-07,1.58
0.003657938791180364,0.9999857792549975,7.990842385655865e-07,1.58
0.007656377082922393,0.999986973423914,2.3108580294716697e-06,2.36
0.007562711669572066,0.9999900972098046,1.924034109909921e-06,2.30
0.007641032487910265,0.9999889202692968,2.1651077340295273e-06,2.36
0.0020692092750683815,0.9999858369975029,3.3265563038949814e-07,3.12
0.0020738127626857435,0.9999842602963044,3.514640892506341e-07,3.14
0.01322343980746024,0.9999903610442017,4.648514915180636e-06,3.14
0.02846961358556271,0.9999829129924249,1.0017947370247608e-05,4.72
0.027802795284230172,0.9999852033320886,9.104038701275127e-06,4.70
0.027765307992559784,0.9999843362692521,8.742284947024837e-06,4.72
0.04675993002688762,0.9999832235086019,2.1686065416872577e-05,6.32
0.0472525335613039,0.9999774036410511,2.5433254505583507e-05,6.34
0.04694496347419004,0.9999788349281298,2.4454352826690834e-05,6.32
0.06999798523464894,0.9999603133913737,7.153595077693193e-05,6.30
0.06953241837951406,0.9998575651080867,0.00010897138346996337,6.30
0.06987493051499218,0.9999339096343435,7.459175431604533e-05,6.32
0.07269366626650658,0.9999796711317056,4.730825941833569e-05,6.32
0.07236850531907671,0.9999876485792475,3.671048518832312e-05,6.30
0.09478306753917856,0.9999743381107454,7.789128119409958e-05,4.72
0.09491720181535276,0.9999784087476213,7.15478740454502e-05,4.72
0.09160062101313318,0.9999843294327438,5.8823705868350636e-05,4.74
0.09184886679174487,0.9999563937837309,9.839333374744758e-05,4.74
0.09353683792039454,0.9999789026568568,8.119366269014159e-05,4.72
0.1092590180134907,0.999959165823553,0.00014251889280925064,3.98
0.11101065264203172,0.9999188258100764,0.0002085582370260417,3.96
0.11024649113851122,0.9999720547084925,0.00011014027352219442,3.98
0.11023767697456335,0.9999716668399585,0.00011089314412477189,3.98
0.10830465722993339,0.9999634992292914,0.00012365937866744988,3.98
0.12307091729323305,0.9999697855271806,0.0001594532063566796,3.14
0.1193067142857143,0.999535305123001,0.0007134738862734334,3.14
0.1173812932330827,0.9998942801701385,0.0002844879155379485,3.16
0.12548952380952386,0.9999138384118965,0.00047556228405588034,3.16
0.12662595384615385,0.9998937748429426,0.00027214199896341887,3.16
0.15071158369200624,0.9999230264872793,0.0003534027982840292,2.36
0.15675425727664996,0.9999073208265746,0.00035570854156376935,2.36
0.15688169230769228,0.9996989639465916,0.0005676530587262977,2.38
0.1497015577442758,0.9996578546696937,0.0006527842749506806,2.36
0.15032560902255637,0.9999223539670029,0.00031222898468281435,2.38
